Documento;Hora_completa;;Hora;Habitat;Indice;Valor;;;;;
ALLUE-2__0__20200219_194758.wav;194758.wav;19;19;Bosque;ACI;3003,32;;;;;
ALLUE-2__0__20200219_215758.wav;215758.wav;21;21;Bosque;ACI;2999,66;;;;;
ALLUE-2__0__20200220_000758.wav;000758.wav;00;0;Bosque;ACI;2990,57;;;;;
ALLUE-2__0__20200220_021758.wav;021758.wav;02;2;Bosque;ACI;2995,04;;;;;
ALLUE-2__0__20200220_042758.wav;042758.wav;04;4;Bosque;ACI;3002,61;;;;;
ALLUE-2__0__20200220_063758.wav;063758.wav;06;6;Bosque;ACI;3009,59;;;;;
ALLUE-2__0__20200220_084758.wav;084758.wav;08;8;Bosque;ACI;3010,18;;;;;
ALLUE-2__0__20200220_105758.wav;105758.wav;10;10;Bosque;ACI;3014,50;;;;;
ALLUE-2__0__20200220_130758.wav;130758.wav;13;13;Bosque;ACI;3007,88;;;;;
ALLUE-2__0__20200220_151758.wav;151758.wav;15;15;Bosque;ACI;3009,34;;;;;
ALLUE-2__0__20200220_172758.wav;172758.wav;17;17;Bosque;ACI;3004,45;;;;;
ALLUE-2__0__20200220_193758.wav;193758.wav;19;19;Bosque;ACI;2995,83;;;;;
ALLUE-2__0__20200220_214758.wav;214758.wav;21;21;Bosque;ACI;2992,97;;;;;
ALLUE-2__0__20200220_235758.wav;235758.wav;23;23;Bosque;ACI;2991,90;;;;;
ALLUE-2__0__20200221_020758.wav;020758.wav;02;2;Bosque;ACI;3002,96;;;;;
ALLUE-2__0__20200221_041758.wav;041758.wav;04;4;Bosque;ACI;3001,29;;;;;
ALLUE-2__0__20200221_062758.wav;062758.wav;06;6;Bosque;ACI;3010,13;;;;;
ALLUE-2__0__20200221_083758.wav;083758.wav;08;8;Bosque;ACI;3015,35;;;;;
ALLUE-2__0__20200221_104758.wav;104758.wav;10;10;Bosque;ACI;3008,57;;;;;
ALLUE-2__0__20200221_125758.wav;125758.wav;12;12;Bosque;ACI;3027,15;;;;;
ALLUE-2__0__20200221_150758.wav;150758.wav;15;15;Bosque;ACI;3011,26;;;;;
